	OstreococcusI	Micromonas	SynechococcusIV	Diatoms	ProchlorococcusHLI	Pelagophyceae	SynechococcusI	Bathycoccus	OstreococcusII	ProchlorococcusLLI	Cryptophyceae	Rappemonad	Prymnesiophyceae	Bolidophyceae	SynechococcusII	ProchlorococcusHLII	ASV357	Dictyochophyceae	Other plastid	Other Cyanobacteria	Chrysophyceae	Not assigned	Cruise	Station	depth	Temperature	name	position	Chao1Phyto	Totalphyto	TotalHet	Totalreads	phytoperc	hetperc	TChl_a
N3S1a-50_S13	0	0.003522254	0	0.005763689	0.021773935	0.004482869	0	0	0.009125841	0.015209734	0	0.000800512	0.013448607	0	0.044508485	0.810918988	0	0.012487992	0.003362152	0.012007685	0.016330451	0.026256804	AT38	1A	50	23.5661	1A/50m	138	44	6250	27963	34213	18.26790986	81.73209014	0.251
N3S1a-75_S14	0	0.020568663	0.03569268	0.003024803	0.058681186	0.021778584	0	0.005444646	0.08045977	0.19600726	0.011494253	0	0.01754386	0	0.064730792	0.465819722	0	0.009679371	0.004839685	0	0.003024803	0.001209921	AT38	1A	75	19.3596	1A/75m	139	23	1655	10470	12125	13.64948454	86.35051546	NA
N3S1a-100_S15	0	0	0	0.148539778	0	0.09264854	0	0.045820745	0.373111782	0.228096677	0	0.001007049	0.046827795	0	0	0.025176234	0	0.014602216	0.004028197	0.012084592	0.002014099	0.006042296	AT38	1A	100	19.1808	1A/100m	140	37	1990	22575	24565	8.100956646	91.89904335	0.231
N3S1-5-5_S19	0	0.008251775	0.896564959	0.000767607	0.002014968	0.001631165	0.035597774	0.008155824	0.001535214	0.003166379	0	0	0.00441374	0.000767607	0.001823067	0.005757052	0	0.002014968	0	0.009978891	0.001535214	0.016023796	AT38	1.5	5	16.3805	1.5/5m	131	20.2	10424	33701	44125	23.62379603	76.37620397	NA
N3S1-5-25_S20	0.001014272	0.007534594	0.459320438	0.033978121	0	0.010287619	0.279069767	0.00840397	0.00949069	0.010215171	0	0	0.008983554	0.000796928	0.04499022	0.043975947	0	0.002390785	0.020502789	0.046294284	0.002100993	0.010649859	AT38	1.5	25	17.8611	1.5/25m	132	47.5	13803	35544	49347	27.97130525	72.02869475	NA
N3S1-5-50_S21	0.005731142	0.007163928	0.030257059	0.188874842	0.00674252	0.025200169	0.00674252	0.013822166	0.477370417	0.057648546	0	0	0.022418879	0.001011378	0.021070375	0.089844079	0	0.004719764	0.018794775	0.015676359	0.001432786	0.005478298	AT38	1.5	50	18.7284	1.5/50m	133	86	11865	57768	69633	17.0393348	82.9606652	NA
N3S1-5-75_S22	0.004634475	0.007026461	0.017042906	0.254746599	0	0.046195246	0.00538197	0.010763941	0.486918822	0.077590073	0	0	0.023770369	0.000896995	0	0.034833308	0	0.003438481	0.017790402	0.005232471	0.000597997	0.003139483	AT38	1.5	75	16.7704	1.5/75m	134	73.5	6691	40515	47206	14.17404567	85.82595433	NA
N3S1-5-100_S23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	1.5	100	15.5341	1.5/100m	135	NA	1236	42677	43913	2.814656252	97.18534375	NA
N3S2-5_S28	0	0.050597548	0.413316778	0.001862486	0.228775415	0.003104144	0.041750737	0.022505044	0	0	0	0.000465622	0.013658234	0.000310414	0.064100574	0.049200683	0	0.009467639	0.002948937	0.064721403	0.012726991	0.020487351	AT38	2	5	17.8635	2/5m	126	34.2	6447	48941	55388	11.63970535	88.36029465	0.195
N3S2-25_S29	0	0.04950266	0.221142725	0.0055517	0.056673606	0.006476984	0.052509831	0.035160768	0.001387925	0	0	0	0.01642378	0	0.077955124	0.384917881	0	0	0	0.048114735	0.016192459	0.027989822	AT38	2	25	18.6447	2/25m	127	29.33333333	4325	28146	32471	13.31957747	86.68042253	0.13
N3S2-50_S30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	2	50	7.0161	2/50m	128	NA	1281	59308	60589	2.11424516	97.88575484	0.652
N3S2-75_S31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	2	75	4.763	2/75m	129	NA	317	44895	45212	0.70114129	99.29885871	0.107
N3S2-100_S32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	2	100	5.9454	2/100m	130	NA	312	36192	36504	0.854700855	99.14529915	0.023
N3S3-5_S138	0.001109604	0.002835655	0.01923314	0.023794847	0.603994575	0.003205523	0	0.006534336	0	0.03661694	0	0	0.004068549	0	0.041918382	0.191468376	0	0.002589077	0.002958945	0.037726544	0.011219332	0.010726174	AT38	3	5	19.1883	3/5m	121	37.2	8111	46652	54763	14.81109508	85.18890492	NA
N3S3-25_S139	0	0.004526807	0.040458339	0.046541236	0.591455651	0.013014571	0	0.023199887	0.003395105	0.11996039	0	0	0.004243882	0	0.017965766	0.054180224	0	0	0.003678031	0.075965483	0.000565851	0.000848776	AT38	3	25	18.7978	3/25m	122	30	7071	46301	53372	13.24851982	86.75148018	0.268
N3S3-50_S40	0.023541453	0.035823951	0.130672126	0.101330604	0.06311839	0.342204026	0	0.047082907	0.086318663	0.040259297	0.004776527	0.002388263	0.050494712	0	0.005458888	0	0	0.00716479	0.0139884	0.021835551	0.002729444	0.02081201	AT38	3	50	18.7526	3/50m	123	56.5	2933	43889	46822	6.264149332	93.73585067	0.177
N3S3-75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	3	75	16.0795	3/75m	124	NA	NA	NA	NA	NA	NA	0.023
N3S3-100_S141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	3	100	15.8103	3/100m	125	NA	130	17991	18121	0.717399702	99.2826003	0.02
N3S3-5-5_S56	0.018126888	0.024646208	0.548417872	0.00143107	0.269518206	0.004929242	0.051041501	0.022738114	0	0.005247257	0	0	0.007155351	0.000477023	0.006042296	0	0.000318016	0.010017491	0.003657179	0.015741771	0.009222452	0.001272062	AT38	3.5	5	16.0351	3.5/5m	116	30	6289	47072	53361	11.78576114	88.21423886	NA
N3S3-5-25_S57	0.135869565	0.039715719	0.485158863	0.001254181	0.142349498	0.022784281	0.051212375	0.055392977	0	0.004180602	0.003762542	0	0.023411371	0	0	0	0	0.007107023	0.006688963	0.012959866	0.004807692	0.003344482	AT38	3.5	25	15.6749	3.5/25m	117	33	4786	43209	47995	9.97187207	90.02812793	NA
N3S3-5-50_S58	0.0295	0.0395	0.625	0.018	0.03	0.0985	0.0835	0.029	0	0.015	0.007	0	0.017	0	0	0	0	0.0045	0.0015	0	0.002	0	AT38	3.5	50	13.1367	3.5/50m	118	18	2000	49973	51973	3.848151925	96.15184807	NA
N3S3-5-75_S59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	3.5	75	11.655	3.5/75m	119	NA	522	59040	59562	0.876397703	99.1236023	NA
N3S3-5-100_S146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	3.5	100	12.1006	3.5/100m	120	NA	74	12534	12608	0.586928934	99.41307107	NA
N3S4-5_S65	0.034738653	0.005054851	0.80081738	0.00075285	0.024306302	0.00333405	0.085824909	0.026779953	0	0	0	0	0.00354915	0	0	0	0	0	0.00290385	0.006990751	0.0049473	0	AT38	4	5	16.4439	4/5m	111	18	9300	44315	53615	17.34589201	82.65410799	0.207
N3S4-25_S66	0.096479068	0.016495703	0.654560577	0.002356529	0.041447186	0.016911561	0.074577211	0.052952592	0	0	0	0.000415858	0.013030219	0	0	0	0	0.005267535	0.008733019	0.008733019	0.004713058	0.003326864	AT38	4	25	15.9903	4/25m	112	23.5	7214	70085	77299	9.332591625	90.66740838	0.281
N3S4-50_S67	0.053589484	0.113245703	0.384732053	0.028311426	0	0.168351871	0.098584429	0.058645096	0	0	0.005561173	0	0.029828109	0	0	0	0	0.006066734	0.029322548	0	0.015166835	0.00859454	AT38	4	50	11.2531	4/50m	113	30	1980	76848	78828	2.511797838	97.48820216	NA
N3S4-75_S68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	4	75	9.7675	4/75m	114	NA	787	82367	83154	0.946436732	99.05356327	0.034
N3S4-100_S69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	4	100	9.2046	4/100m	115	NA	197	79633	79830	0.246774396	99.7532256	0.005
N3S4-5-5_S75	0.006523232	0.082284276	0.370565347	0.017395285	0.248455024	0.015335317	0.056763561	0.047951476	0	0.01029984	0.002174411	0.000343328	0.025978485	0.000686656	0.004921035	0	0.000343328	0.019913024	0.005836576	0.039711604	0.033875029	0.010643168	AT38	4.5	5	15.5098	4.5/5m	106	60.625	8740	66538	75278	11.61029783	88.38970217	NA
N3S4-5-25_S76	0.01843318	0.04968318	0.210973502	0.037730415	0.387096774	0.037730415	0.023761521	0.062788018	0	0.042482719	0.003312212	0	0.01843318	0	0.002160138	0	0.002016129	0.007200461	0.016849078	0.063940092	0.009504608	0.005904378	AT38	4.5	25	15.4946	4.5/25m	107	58.09090909	6944	66735	73679	9.424666459	90.57533354	NA
N3S4-5-50_S77	0.020891107	0.045294879	0.245331854	0.133481235	0.019596968	0.133481235	0.017933075	0.068034757	0.050101682	0.188759475	0	0	0.023664263	0.002218525	0	0	0.002033648	0.00628582	0.016084304	0.016269181	0.001848771	0.008689222	AT38	4.5	50	14.4292	4.5/50m	108	64.5	5413	78944	84357	6.41677632	93.58322368	NA
N3S4-5-75_S78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	4.5	75	14.2974	4.5/75m	109	NA	862	58907	59769	1.442219211	98.55778079	NA
N3S4-5-100_S79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	4.5	100	13.3204	4.5/100m	110	NA	1039	78661	79700	1.303638645	98.69636136	NA
N3S5-5_S84	0.078410195	0.115671239	0.428880009	0.005076142	0.066097851	0.017280484	0.085862404	0.061561724	0	0	0.007884221	0.000540015	0.051841452	0.000756021	0	0	0.002916082	0.03142888	0.012204342	0.001620045	0.026892753	0.005076142	AT38	5	5	13.9322	5/5m	101	86.76923077	9275	63652	72927	12.71819765	87.28180235	0.398
N3S5-25_S85	0.127362569	0.10265596	0.474861025	0.009017912	0.029030266	0.019641754	0.092032119	0.072637431	0	0	0.006794317	0.00123533	0.018900556	0.002964793	0	0	0.00123533	0.011241507	0.010006177	0	0.015688697	0.004694256	AT38	5	25	13.598	5/25m	102	69.5	8095	77399	85494	9.468500714	90.53149929	0.473
N3S5-50_S86	0.010341262	0.021199586	0.140641158	0.340227508	0.003102378	0.037228542	0.288004137	0.025336091	0	0	0.005687694	0.011892451	0.040847983	0	0	0	0.030506722	0.002585315	0.024301965	0	0.018097208	0	AT38	5	50	7.419	5/50m	103	28	1936	84089	86025	2.250508573	97.74949143	1.138
N3S5-75_S87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	5	75	8.0675	5/75m	104	NA	486	57242	57728	0.841879157	99.15812084	NA
N3S5-100_S88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	5	100	7.5046	5/100m	105	NA	169	59873	60042	0.281469638	99.71853036	0.013
N3S5-5-5_S94	0.005877034	0.023508137	0.137432188	0.131103074	0	0.098101266	0.212477396	0.068716094	0	0	0.015822785	0	0.148282098	0	0	0	0	0.02124774	0.131555154	0	0.004520796	0.001356239	AT38	5.5	5	11.8792	5.5/5m	96	41.33333333	2212	77173	79385	2.786420608	97.21357939	NA
N3S5-5-25_S95	0.009965122	0.027404086	0.132536124	0.113602392	0	0.10363727	0.182361734	0.073741903	0	0	0.020926756	0	0.109118087	0	0	0	0	0.040857	0.178375685	0.001993024	0.005480817	0	AT38	5.5	25	11.8689	5.5/25m	97	42.5	2009	66437	68446	2.935160565	97.06483944	NA
N3S5-5-50_S96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	5.5	50	5.945	5.5/50m	98	NA	1266	70543	71809	1.763010208	98.23698979	NA
N3S5-5-75_S97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	5.5	75	4.8089	5.5/75m	99	NA	1202	110266	111468	1.078336384	98.92166362	NA
N3S5-5-100_S98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	5.5	100	4.3387	5.5/100m	100	NA	356	52793	53149	0.669815048	99.33018495	NA
N3S6C4-5_S102	0.003448276	0.018344828	0.143862069	0.133655172	0	0.103862069	0.185931034	0.044551724	0	0	0.010482759	0.001793103	0.155034483	0.003724138	0	0	0	0.051862069	0.119586207	0	0.023310345	0.000551724	AT38	6	5	11.36	6/5m	76	99	7254	139851	147105	4.931171612	95.06882839	0.926
N3S6C4-25m_S152	0.002576213	0.022541863	0.132030915	0.135465865	0	0.107771576	0.176899957	0.054315157	0	0	0.008802061	0.003649635	0.14834693	0.005796479	0	0	0	0.04229283	0.130957492	0.000429369	0.025332761	0.002790897	AT38	6	25	11.2499	6/25m	77	77.66666667	4658	128795	133453	3.490367395	96.5096326	0.858
N3S6C4-50_S104	0	0.019657809	0.021842009	0.086639971	0	0.195121951	0.351292319	0.022570076	0	0	0.026938478	0.004004368	0.145249363	0.011285038	0	0	0	0.009464871	0.064069894	0	0.040771751	0.0010921	AT38	6	50	7.7108	6/50m	78	54	2749	91904	94653	2.904292521	97.09570748	0.423
N3S6C4-75_S105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	75	4.5883	6/75m	79	NA	977	66202	67179	1.454323524	98.54567648	0.067
N3S6C4-100_S106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	100	4.1844	6/100m	80	NA	516	66928	67444	0.765079177	99.23492082	0.024
N3S6C5-5_S110	0	0.013267627	0.123578469	0.089082638	0	0.093252464	0.311599697	0.046626232	0	0	0.011372252	0	0.112585292	0	0	0	0	0.045868082	0.136846096	0	0.015921152	0	AT38	6	5	11.3905	6/5m	81	39.25	2640	63693	66333	3.979919497	96.0200805	0.772
N3S6C5-25_S111	0.002024975	0.013837327	0.132973338	0.049274384	0	0.104961188	0.219372258	0.032737091	0	0	0.010462369	0.005399933	0.166722916	0.004387445	0	0	0	0.048599393	0.198785015	0	0.008099899	0.00236247	AT38	6	25	11.382	6/25m	82	52.5	2965	50949	53914	5.499499202	94.5005008	0.793
N3S6C5-50_S112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	50	6.6072	6/50m	83	NA	1214	50627	51841	2.341775815	97.65822419	0.438
N3S6C5-75_S113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	75	4.3352	6/75m	84	NA	747	57771	58518	1.276530298	98.7234697	0.043
N3S6C5-100_S114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	100	4.1436	6/100m	85	NA	312	47858	48170	0.647706041	99.35229396	0.012
N3S6C7-5_S118	0.003452244	0.014466546	0.073319086	0.084662173	0	0.118033865	0.180174256	0.039454217	0	0	0.013644583	0.002301496	0.160282755	0.00575374	0	0	0	0.047180667	0.231300345	0.000821963	0.021864212	0.003287851	AT38	6	5	11.3406	6/5m	86	86.33333333	6085	88368	94453	6.442357575	93.55764243	0.716
N3S6C7-25_S119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	25	11.2472	6/25m	87	NA	NA	NA	NA	NA	NA	0.833
N3S6C7-50_S120	0	0.020043573	0	0.124183007	0	0.2291939	0.186056645	0.013071895	0	0	0.145098039	0	0.169934641	0.031372549	0	0	0	0.02745098	0.02962963	0	0.020043573	0.003921569	AT38	6	50	5.4755	6/50m	88	53	2297	70277	72574	3.165045333	96.83495467	0.199
N3S6C7-75_S121	0	0.003370787	0	0.047752809	0	0.130898876	0.096067416	0	0	0	0.434831461	0	0.184831461	0.014606742	0	0	0	0.038202247	0.019662921	0	0.003932584	0.025842697	AT38	6	75	4.3029	6/75m	89	35	1780	82303	84083	2.116955865	97.88304413	0.05
N3S6C7-100_S122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	100	4.1782	6/100m	90	NA	678	75308	75986	0.892269629	99.10773037	0.011
N3S6C10-5_S127	0.001807093	0.013101423	0.138468489	0.125818839	0	0.066184775	0.168059634	0.061441157	0	0	0.010164897	0.002032979	0.091258188	0.002484753	0	0	0	0.027784052	0.28077705	0	0.009487237	0.001129433	AT38	6	5	11.4067	6/5m	91	71.85714286	4427	82868	87295	5.071309926	94.92869007	0.822
N3S6C10-25_S128	0.001531394	0.017457887	0.106891271	0.105359877	0	0.093108729	0.150382848	0.046248086	0	0	0.011638591	0.004900459	0.125880551	0.003062787	0	0	0	0.033690658	0.285145482	0.001225115	0.012557427	0.000918836	AT38	6	25	11.383	6/25m	92	53.14285714	3269	60014	63283	5.165684307	94.83431569	0.809
N3S6C10-50_S129	0	0.030191758	0.006119951	0.074663403	0	0.207670339	0.286005712	0.02121583	0	0	0.109751122	0.003263974	0.13504692	0.045695634	0	0	0	0.010607915	0.030191758	0	0.036719706	0.002855977	AT38	6	50	5.9219	6/50m	93	56.14285714	2453	65809	68262	3.593507369	96.40649263	0.269
N3S6C10-75_S130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	75	4.4707	6/75m	94	NA	1237	58267	59504	2.078851842	97.92114816	0.05
N3S6C10-100_S131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	6	100	4.2319	6/100m	95	NA	574	54271	54845	1.046585833	98.95341417	0.015
N4S1-5_S26	0.066666667	0.238638639	0.015415415	0.114814815	0.004604605	0.032832833	0	0.032932933	0.236836837	0.00990991	0.043843844	0	0.070670671	0	0.082482482	0.006106106	0	0.007807808	0.022422422	0.011111111	0	0.002902903	AT39-6	1	5	18.3528	1/5m	161	82	9990	31018	41008	24.36110027	75.63889973	0.57
N4S1-25_S27	0.078865508	0.186154315	0.024031717	0.154071363	0.007319305	0.023116804	0.001219884	0.030497103	0.272278134	0.010064044	0.027508387	0.000670936	0.048429399	0	0.085818847	0.008356206	0	0.005184507	0.019762123	0.014150656	0	0.002500762	AT39-6	1	25	18.3584	1/25m	162	94.09090909	16399	64871	81270	20.17841762	79.82158238	0.58
N4S1-50_S28	0.060823171	0.273551829	0.014939024	0.141692073	0.007012195	0.041310976	0	0.032012195	0.197408537	0.008765244	0.050990854	0.000762195	0.068597561	0	0.06570122	0.003658537	0	0.007545732	0.01554878	0.007698171	0	0.001981707	AT39-6	1	50	18.3611	1/50m	163	94.5	13120	42330	55450	23.66095582	76.33904418	0.585
N4S1-75_S29	0.080163698	0.209797785	0.014684641	0.138601348	0.005536832	0.03237843	0.000902744	0.032318247	0.251263842	0.008485797	0.045377949	0.000782378	0.061266249	0.000240732	0.080223881	0.002407318	0	0.003911892	0.018355802	0.009990371	0	0.003310063	AT39-6	1	75	18.361	1/75m	164	110.0909091	16618	61155	77773	21.36731256	78.63268744	0.552
N4S1-100_S30	0.076008913	0.147066105	0.091359247	0.110175786	0.008417925	0.029215152	0.006189651	0.037633077	0.190888834	0.022282743	0.025748948	0	0.058677891	0	0.135924734	0	0	0.006437237	0.019064125	0.019064125	0	0.015845506	AT39-6	1	100	18.0046	1/100m	165	66.33333333	4041	61141	65182	6.199564297	93.8004357	0.079
N4S2-5_S36	0.343395519	0.106590419	0.263429268	0.046498547	0.013780819	0.003656136	0.023436768	0.03553014	0.03168651	0.002624918	0.025405456	0	0.035436393	0	0.032623981	0	0	0.008062248	0.019405644	0.006656042	0	0.001781194	AT39-6	2	5	17.0647	2/5m	156	58.66666667	10667	49473	60140	17.73694712	82.26305288	0.99
N4S2-25_S37	0.355547385	0.178141373	0.166099825	0.042742899	0.013788032	0.003584888	0.011122346	0.043845942	0.062597665	0.00413641	0.024542697	0.000459601	0.025553819	0.000643441	0.03879033	0	0	0.005515213	0.017005239	0.004779851	0.000275761	0.000827282	AT39-6	2	25	17.1496	2/25m	157	67.85714286	10881	59677	70558	15.42135548	84.57864452	0.407
N4S2-50_S38	0.332264615	0.211178797	0.162765844	0.033450892	0.012717751	0.002671797	0.012717751	0.034519611	0.084749385	0.006412312	0.022656834	0.000534359	0.019985038	0	0.039328845	0	0	0.001282462	0.01496206	0.005022977	0	0.002778668	AT39-6	2	50	17.1343	2/50m	158	57.75	9361	61772	71133	13.15985548	86.84014452	0.329
N4S2-75_S39	0.263439685	0.281687063	0.118006993	0.041411713	0.007757867	0.009943182	0.010052448	0.03354458	0.040428322	0.002731643	0.065340909	0	0.054851399	0	0.026988636	0	0	0.01048951	0.027862762	0.004698427	0.000546329	0.000218531	AT39-6	2	75	16.8557	2/75m	159	73.16666667	9152	54970	64122	14.27279249	85.72720751	0.162
N4S2-100_S40	0.194514414	0.269801287	0.128463476	0.082563672	0.007276798	0.031626085	0.011474951	0.059054016	0.057934509	0.005877414	0.047019312	0	0.044220543	0	0.026308424	0	0	0.011474951	0.003358522	0.006157291	0	0.012874335	AT39-6	2	100	16.6947	2/100m	160	52.25	3573	47365	50938	7.014409675	92.98559033	0.075
N4S3-5_S55	0.065914221	0.255379985	0.010082769	0.211186356	0.004665162	0.030448959	0.000752445	0.033458741	0.216202659	0.009129671	0.024680211	0	0.035063958	0	0.061700527	0.005768748	0	0.004915977	0.010383747	0.003511412	0	0.016754452	AT39-6	3	5	18.2149	3/5m	151	114.25	19939	77181	97120	20.53027183	79.46972817	0.458
N4S3-25_S56	0.058331835	0.248157469	0.009257595	0.228069387	0.003055905	0.036715801	0	0.035637246	0.197510336	0.009437354	0.036446162	0	0.042872551	0	0.055950027	0.002831206	0	0.007325184	0.01438073	0.004808557	0	0.009212655	AT39-6	3	25	18.2161	3/25m	152	109	22252	71853	94105	23.64592742	76.35407258	0.497
N4S3-50_S57	0.077606051	0.228872082	0.014468925	0.194919434	0.00411049	0.0285268	0.001315357	0.036583361	0.22139099	0.011920421	0.018908254	0.000246629	0.036007892	0	0.085087142	0.006905623	0	0.004768168	0.00822098	0.006412364	0	0.013729037	AT39-6	3	50	18.2234	3/50m	153	95.11111111	12170	51868	64038	19.00434117	80.99565883	0.47
N4S3-75_S58	0.070938067	0.254534854	0.011077999	0.188261208	0.004275719	0.03219746	0.000583053	0.038416688	0.239893755	0.011855403	0.017297227	0.000259134	0.031549624	0	0.065107541	0.004016585	0	0.00518269	0.007644467	0.004275719	0	0.012632806	AT39-6	3	75	18.2337	3/75m	154	103.5454545	15436	66052	81488	18.9426664	81.0573336	0.406
N4S3-100_S59	0.074286916	0.237507884	0.010302053	0.186137781	0.004415166	0.02950452	0	0.043100428	0.233092718	0.010792627	0.017240171	0.00035041	0.037003294	0	0.082696755	0.005045904	0	0.005466396	0.006797954	0.00665779	0	0.009601233	AT39-6	3	100	18.2382	3/100m	155	95.125	14269	67525	81794	17.44504487	82.55495513	0.417
N4S4-5_S65	0.161552598	0.242913627	0.152642424	0.17174361	0.003229938	0.021440107	0.04382692	0.053182603	0.001336526	0	0.047669433	0.000278443	0.060533497	0.000835329	0	0	0.000612574	0.009188617	0.026396391	0.000835329	0	0.001782035	AT39-6	4	5	13.3532	4/5m	146	110.4615385	17959	52810	70769	25.37693058	74.62306942	0.53
N4S4-25_S66	0.126338703	0.298519808	0.124684371	0.102046147	0.002829778	0.029516761	0.0288202	0.061732695	0.000783631	0.001262516	0.086242926	0.000653026	0.081628211	0.001697867	0.001393121	0	8.71E-05	0.015237266	0.03347845	0.000783631	0.00043535	0.001828472	AT39-6	4	25	13.2998	4/25m	147	131.4545455	22976	67907	90883	25.28085561	74.71914439	0.506
N4S4-50_S67	0.169905807	0.328246095	0.138309288	0.126207225	0.003994277	0.021819483	0.027304161	0.071718135	0.000715393	0	0.030940742	0.000953857	0.048289019	0.002265411	0	0	0	0.009478956	0.018123286	0.000596161	0	0.001132705	AT39-6	4	50	13.2196	4/50m	148	87.71428571	16774	66503	83277	20.14241627	79.85758373	0.45
N4S4-75_S68	0.148789119	0.250525268	0.182129824	0.153378304	0.003649231	0.021840097	0.052084485	0.057890081	0.001105828	0.000608205	0.031073759	0.000663497	0.060322902	0.001492867	0.00160345	0	0.000552914	0.008404291	0.020126064	0.001326993	0.000331748	0.002101073	AT39-6	4	75	13.1513	4/75m	149	113.7692308	18088	74865	92953	19.45929663	80.54070337	0.425
N4S4-100_S69	0.163108133	0.346690877	0.132991046	0.110575418	0.002817607	0.022227788	0.018408365	0.081460147	0.001001816	0	0.03932127	0.000563521	0.046897502	0.002754993	0	0	0	0.009141569	0.017093482	0.000813975	0.001064429	0.003068061	AT39-6	4	100	12.9335	4/100m	150	100.2142857	15979	78066	94045	16.99080228	83.00919772	0.273
